Date,Open,High,Low,Close,Adj Close,Volume
2021-07-23,116.0,138.899994,115.0,126.0,126.0,694895290
2021-07-26,126.349998,143.75,125.300003,140.649994,140.649994,249723854
2021-07-27,141.699997,147.800003,127.75,132.899994,132.899994,240341900
2021-07-28,131.0,135.0,123.550003,131.199997,131.199997,159793731
2021-07-29,134.949997,144.0,132.199997,141.550003,141.550003,117973089
2021-07-30,142.600006,142.699997,131.0,133.5,133.5,88312522
2021-08-02,135.75,140.75,135.149994,139.699997,139.699997,66909732
2021-08-03,137.0,140.800003,137.0,139.399994,139.399994,46610001
2021-08-04,139.800003,141.0,135.25,138.399994,138.399994,41134419
2021-08-05,138.75,138.899994,132.0,134.949997,134.949997,38437134
2021-08-06,135.5,136.199997,130.100006,131.350006,131.350006,31975356
2021-08-09,132.399994,133.550003,127.25,130.600006,130.600006,41358299
2021-08-10,131.0,131.449997,122.099998,125.199997,125.199997,43164004
2021-08-11,123.0,138.75,123.0,135.649994,135.649994,111702781
2021-08-12,135.649994,137.399994,132.050003,135.449997,135.449997,51256670
2021-08-13,133.850006,139.75,132.100006,137.350006,137.350006,33674300
2021-08-16,136.399994,136.899994,132.25,134.949997,134.949997,20305361
2021-08-17,132.800003,134.350006,130.600006,132.5,132.5,15815187
2021-08-18,134.5,136.800003,133.300003,134.949997,134.949997,22566920
2021-08-20,134.949997,141.449997,133.0,139.300003,139.300003,53789580
2021-08-23,137.800003,137.800003,124.75,127.25,127.25,68470861
2021-08-24,127.25,127.949997,120.5,125.0,125.0,56713556
2021-08-25,126.0,128.5,123.099998,124.25,124.25,51078811
2021-08-26,125.25,127.150002,124.349998,125.849998,125.849998,20645403
2021-08-27,126.599998,129.5,124.099998,124.699997,124.699997,22227595
2021-08-30,127.849998,135.449997,127.550003,133.550003,133.550003,45239080
2021-08-31,134.0,135.199997,131.350006,134.550003,134.550003,24640924
2021-09-01,134.550003,135.100006,130.699997,132.600006,132.600006,16162269
2021-09-02,132.0,138.5,131.5,137.600006,137.600006,27882466
2021-09-03,135.949997,151.399994,135.600006,149.75,149.75,113381518
2021-09-06,149.25,149.350006,143.25,144.050003,144.050003,34811620
2021-09-07,144.899994,146.850006,138.550003,140.050003,140.050003,30421931
2021-09-08,141.0,143.600006,139.050003,141.25,141.25,28133284
2021-09-09,141.399994,142.899994,140.0,141.600006,141.600006,18970691
2021-09-13,143.25,144.25,142.0,143.149994,143.149994,17426798
2021-09-14,145.149994,152.75,136.199997,144.100006,144.100006,112358935
2021-09-15,142.949997,145.0,140.75,142.649994,142.649994,38892545
2021-09-16,143.0,144.0,141.5,142.050003,142.050003,17634206
2021-09-17,142.550003,146.899994,137.149994,137.899994,137.899994,23264091
2021-09-20,137.699997,140.850006,133.25,134.300003,134.300003,19799941
2021-09-21,137.199997,138.0,131.0,133.449997,133.449997,19330196
2021-09-22,135.399994,135.399994,131.300003,132.100006,132.100006,16923375
2021-09-23,134.5,140.399994,133.050003,137.300003,137.300003,31779169
2021-09-24,137.550003,139.5,136.050003,136.649994,136.649994,13099391
2021-09-27,139.850006,144.75,138.0,143.699997,143.699997,26041244
2021-09-28,143.899994,143.899994,137.649994,139.0,139.0,13489232
2021-09-29,138.0,139.5,136.5,138.5,138.5,10801439
2021-09-30,139.199997,139.199997,136.149994,136.600006,136.600006,7825751
2021-10-01,137.300003,140.5,137.0,138.0,138.0,11940576
2021-10-04,139.100006,140.0,138.0,139.100006,139.100006,11995299
2021-10-05,138.75,138.800003,137.149994,137.949997,137.949997,10912142
2021-10-06,138.75,139.199997,133.699997,134.949997,134.949997,9988184
2021-10-07,136.75,138.449997,136.050003,137.100006,137.100006,7317664
2021-10-08,138.0,138.0,135.699997,136.149994,136.149994,6207969
2021-10-11,137.5,137.5,136.149994,136.850006,136.850006,4395523
2021-10-12,137.300003,137.75,135.5,136.600006,136.600006,5600652
2021-10-13,137.25,137.399994,134.350006,135.449997,135.449997,6351349
2021-10-14,135.899994,137.300003,133.699997,135.0,135.0,8688177
2021-10-18,136.0,146.149994,135.899994,144.050003,144.050003,31446800
2021-10-19,144.899994,145.100006,137.25,138.550003,138.550003,14688308
2021-10-20,138.5,140.399994,133.850006,137.899994,137.899994,12607297
2021-10-21,139.75,139.899994,135.800003,138.149994,138.149994,5951873
2021-10-22,138.949997,142.0,135.800003,137.75,137.75,11468458
2021-10-25,138.0,138.949997,131.550003,132.699997,132.699997,13530512
2021-10-26,133.0,137.350006,133.0,135.449997,135.449997,6445894
2021-10-27,136.199997,139.25,134.5,134.800003,134.800003,8982174
2021-10-28,135.350006,136.5,131.5,135.600006,135.600006,11936370
2021-10-29,135.0,135.0,130.5,131.550003,131.550003,12925877
2021-11-01,133.600006,134.300003,132.0,132.649994,132.649994,6200243
2021-11-02,132.699997,133.600006,131.75,132.449997,132.449997,7367792
2021-11-03,132.899994,132.899994,127.5,128.350006,128.350006,15919925
2021-11-04,130.0,132.399994,130.0,131.350006,131.350006,4101820
2021-11-08,132.949997,133.600006,130.600006,131.149994,131.149994,17645794
2021-11-09,133.0,138.899994,131.649994,137.649994,137.649994,26457361
2021-11-10,136.5,139.149994,135.0,136.050003,136.050003,16816048
2021-11-11,142.0,144.0,132.600006,140.899994,140.899994,83582039
2021-11-12,142.0,155.199997,142.0,153.0,153.0,140547798
2021-11-15,149.0,163.300003,142.350006,160.300003,160.300003,121197599
2021-11-16,161.149994,169.0,153.800003,157.600006,157.600006,109342731
2021-11-17,155.949997,162.25,154.25,156.550003,156.550003,44505156
2021-11-18,158.899994,161.850006,152.5,154.699997,154.699997,46802082
2021-11-22,158.25,158.25,136.800003,149.75,149.75,79417849
2021-11-23,150.0,152.0,144.25,148.699997,148.699997,38236588
2021-11-24,151.100006,156.399994,149.600006,155.5,155.5,53749976
2021-11-25,157.0,161.300003,154.050003,159.75,159.75,48900473
2021-11-26,158.449997,158.449997,146.25,148.149994,148.149994,35968151
2021-11-29,148.800003,153.899994,137.5,149.100006,149.100006,43972445
2021-11-30,149.949997,158.0,145.300003,152.550003,152.550003,258130152
2021-12-01,153.0,157.899994,149.449997,151.399994,151.399994,32604856
2021-12-02,151.600006,153.800003,147.800003,150.649994,150.649994,23508261
2021-12-03,152.100006,152.800003,143.850006,144.899994,144.899994,26452896
2021-12-06,146.600006,146.850006,135.300003,138.550003,138.550003,33244501
2021-12-07,141.350006,143.800003,138.649994,139.800003,139.800003,36835410
2021-12-08,141.0,148.600006,140.25,147.600006,147.600006,37324365
2021-12-09,148.649994,148.649994,145.300003,146.25,146.25,18377899
2021-12-10,144.100006,146.399994,139.75,140.550003,140.550003,27881031
