,High
475,75.849998
476,75.300003
477,75.25
478,76.949997
479,76.150002
480,75.449997
481,77.25
482,76.199997
483,75.099998
484,75.25
485,74.900002
486,75.550003
487,77.0
488,78.800003
489,84.5
490,85.25
491,83.400002
492,80.650002
493,80.349998
494,79.099998
495,80.699997
496,82.449997
497,83.199997
498,84.599998
499,86.099998
500,87.25
501,87.150002
502,85.699997
503,85.949997
504,88.400002
505,98.400002
506,102.849998
507,100.300003
508,94.849998
509,96.150002
510,95.199997
511,93.400002
512,95.599998
513,93.25
514,91.400002
515,90.5
516,94.300003
517,95.0
518,95.75
519,93.349998
520,96.099998
521,95.0
522,100.5
523,100.800003
524,98.349998
525,98.599998
526,99.300003
527,98.849998
528,101.599998
529,101.099998
530,102.550003
531,102.5
532,100.75
533,100.099998
534,104.449997
535,105.0
536,104.900002
537,100.949997
538,101.400002
539,100.5
540,100.400002
541,101.199997
542,100.599998
543,102.75
544,105.900002
545,104.400002
546,107.699997
547,107.199997
548,105.25
549,107.949997
550,109.800003
551,113.25
552,111.800003
553,112.75
554,114.199997
555,115.099998
556,113.150002
557,114.5
558,113.900002
559,109.5
560,108.0
561,109.25
562,108.599998
563,108.150002
564,107.150002
565,108.0
566,119.900002
567,123.900002
568,126.349998
569,125.699997
570,125.550003
571,123.300003
572,123.099998
573,125.199997
574,122.550003
575,125.0
576,123.400002
577,119.0
578,117.800003
579,115.75
580,116.0
581,116.900002
582,119.199997
583,120.699997
584,118.349998
585,119.0
586,118.25
587,119.699997
588,122.199997
589,123.900002
590,120.5
591,119.300003
592,120.5
593,124.949997
594,125.0
595,129.199997
596,131.75
597,131.0
598,128.699997
599,131.0
600,128.699997
601,127.599998
602,125.5
603,125.550003
604,125.599998
605,129.449997
606,130.25
607,130.899994
608,134.350006
609,133.649994
610,135.0
611,136.149994
612,139.0
613,141.5
614,139.550003
615,135.300003
616,132.399994
617,129.800003
618,135.5
619,135.050003
620,137.300003
621,136.899994
622,138.199997
623,137.699997
624,138.800003
625,142.0
626,143.5
627,145.0
628,145.399994
629,141.800003
630,142.899994
